Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 25V","C_0805_2012Metric",-2.750000,4.500000,180.000000,top
"C2","100nF 50V","C_0402_1005Metric",1.250000,-5.450000,0.000000,top
"C3","100nF 50V","C_0402_1005Metric",3.600000,-9.000000,0.000000,top
"C4","10uF 25V","C_0805_2012Metric",-1.500000,-10.945000,-90.000000,top
"D1","WS2850B","WS2850B",0.000000,0.000000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",7.000000,13.000000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",-13.000000,7.000000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",7.000000,-13.000000,0.000000,top
"J1","POWER","USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal",0.000000,10.580000,180.000000,top
"R1","5.1K 1%","R_0402_1005Metric",-0.500000,4.510000,-90.000000,top
"R2","5.1K 1%","R_0402_1005Metric",0.500000,4.510000,-90.000000,top
"R3","220R 1%","R_0402_1005Metric",5.000000,1.700000,180.000000,top
"R4","220R 1%","R_0402_1005Metric",5.000000,0.000000,180.000000,top
"R5","220R 1%","R_0402_1005Metric",5.000000,-1.700000,180.000000,top
"R6","5.1K 1%","R_0402_1005Metric",1.250000,-4.450000,0.000000,top
"R7","5.1K 1%","R_0402_1005Metric",1.250000,-7.500000,0.000000,top
"R8","5.1K 1%","R_0402_1005Metric",3.600000,-10.000000,0.000000,top
"R9","5.1K 1%","R_0402_1005Metric",5.600000,-10.000000,180.000000,top
"SW1","USER","EVQP7A01P",12.000000,3.250000,90.000000,top
"SW2","~{RESET}","EVQP7A01P",12.000000,-3.250000,90.000000,top
"U1","CH32V003F4U6","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",5.000000,-6.250000,0.000000,top
"U2","MCP9700A","SOT-23",-4.562500,-10.000000,180.000000,top
